date,year,s_man,c_man,n_man,s1_aut,s2_aut,s3_aut,c1_aut,c2_aut,c3_aut,n1_aut,n2_aut,n3_aut,s_avg,c_avg,n_avg
7-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
8-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
9-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
10-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
11-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
12-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
13-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
14-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
15-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
17-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
19-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
20-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
21-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
22-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
23-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
24-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
25-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
27-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
29-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
30-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
31-Mar-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
1-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
2-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
3-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
4-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
5-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
6-Apr-09,2009,1,3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,3.00,3.80
7-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
8-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
9-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
10-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
11-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
12-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
13-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
14-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
15-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
16-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
17-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
18-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
19-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
20-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
21-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
22-Apr-09,2009,2.2,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20,0.00,1.60
23-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
24-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
25-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
26-Apr-09,2009,0,5.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,5.20,0.00
27-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
28-Apr-09,2009,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00,0.00,0.00
29-Apr-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
30-Apr-09,2009,0,16.6,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,16.60,24.50
1-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
2-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
3-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
4-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
5-May-09,2009,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00
6-May-09,2009,6.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20,0.00,0.00
7-May-09,2009,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40,0.00,0.00
8-May-09,2009,6.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70,0.00,0.00
